Domain,MBFC,MBFC factual,BF,FC,PF,WI,Site Rank,Yr online,Name,Media Bias/Fact Check page,Wikipedia article,HTTP,URL,lang,hflag,iffy,Lists
channel22news.com,,,1,,,,1995169,2017,Create A Prank,,,200,https://channel22news.com/,en,1,,1
channel23news.com,,,1,1,,,3744426,2017,Prank Generator,,,200,https://channel23news.com/,en,1,,2
channel24news.com,,,1,,imposter,,522442,2017,Create A Prank,,,200,https://channel24news.com/,en,1,,2
channel28news.com,,,1,,,,2058792,2017,Prank Generator - Channel28News.com,,,200,https://channel28news.com/,en,1,,1
channel33news.com,,,1,,,,20000000,2017,Channel 33 News,,,200,https://channel33news.com/,en,1,,1
channel34news.com,,,1,,,,1768544,2017,Create A Prank!,,,200,https://channel34news.com/,en,1,,1
channel40news.com,,,1,,,,6932065,2017,Create A Prank,,,200,https://channel40news.com/,en,1,,1
channel45news.com,,,1,,,,818010,2017,Create A Prank News Article!,,,200,https://channel45news.com/,en,1,,1
channel46news.com,,,1,,,,7072690,2017,Channel 46 News,,,200,https://channel46news.com/,en,1,,1
charismanews.com,CP,M,,,,,72325,1998,Charisma News,https://mediabiasfactcheck.com/charisma-news/,,200,https://www.charismanews.com/,en,,,1
childrenshealthdefense.org,CP,L,,,,,78475,2018,Children's Health Defense,https://mediabiasfactcheck.com/childrens-health-defense/,https://en.wikipedia.org/wiki/Children%27s_Health_Defense,200,https://childrenshealthdefense.org/,en,,1,1
chinadaily.com.cn,FN,M,,,,,350,1997,China Daily,https://mediabiasfactcheck.com/china-daily/,https://en.wikipedia.org/wiki/China_Daily,200,https://chinadaily.com.cn/,en,,,1
chlorellafactor.com,CP,VL,,,,,20000000,2004,Chlorella Factor,https://mediabiasfactcheck.com/chlorellafactor-com/,https://en.wikipedia.org/wiki/Natural_News,200,https://chlorellafactor.com/,en,,1,1
christianaction.org,FN,L,,,,,500176,1999,Christian Action Network,https://mediabiasfactcheck.com/christian-action-network/,https://en.wikipedia.org/wiki/Christian_Action_Network,200,https://christianaction.org/,en,,1,1
christianscience.com,CP,L,,,,,178497,1998,Christian Science,https://mediabiasfactcheck.com/christian-science/,https://en.wikipedia.org/wiki/Christian_Science,200,https://www.christianscience.com/,en,,1,1
churchmilitant.com,FN,M,,,,,62430,,Church Militant,https://mediabiasfactcheck.com/church-militant/,,200,https://www.churchmilitant.com/,en,,,1
cityworldnews.com,FN,VL,,,,,16006975,2014,CityWorldNews,https://mediabiasfactcheck.com/cityworldnews/,,200,http://cityworldnews.com/,en,,1,1
clarionproject.org,FN,L,,,,,208275,2012,Clarion Project,https://mediabiasfactcheck.com/clarion-project/,https://en.wikipedia.org/wiki/Clarion_Project,200,https://clarionproject.org/,en,,1,1
clashdaily.com,FN,L,,,fake-news,,160053,,Clash Daily,https://mediabiasfactcheck.com/clash-daily/,,200,https://clashdaily.com/,en,,1,2
climate.news,FN,VL,,,,,5384066,2017,Climate.News,https://mediabiasfactcheck.com/climate-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://climate.news/,en,,1,1
climatechangedispatch.com,CP,L,,,,,782598,,Climate Change Dispatch,https://mediabiasfactcheck.com/climate-change-dispatch/,,200,https://climatechangedispatch.com/,en,,1,1
climatedepot.com,CP,M,,,,,194394,,Climate Depot,https://mediabiasfactcheck.com/climate-depot/,,200,https://www.climatedepot.com/,en,,,1
climatism.blog,CP,L,,,,,1160373,,Climatism,https://mediabiasfactcheck.com/climatism/,,200,https://climatism.blog/,en,,1,1
cloverchronicle.com,FN,L,,,,,1065138,2018,Clover Chronicle,https://mediabiasfactcheck.com/clover-chronicle-bias-credibility-fake-news/,,200,https://cloverchronicle.com/,en,,1,1
cnn-globalnews.com,FN,VL,1,,,,20000000,2018,cnn-globalnews.com,https://mediabiasfactcheck.com/cnn-globalnews-com/,,200,http://www.cnn-globalnews.com/,en,,1,2
cnoticias.net,,,1,,,,6761342,2016,Faça sua piada de maneira rápida!,,,200,http://www.cnoticias.net/,pt,1,,1
cnsnews.com,FN,L,,,,,33402,1998,CNS News,https://mediabiasfactcheck.com/cns-news/,https://en.wikipedia.org/wiki/CNSNews.com,200,https://www.cnsnews.com/,en,,1,1
coasttocoastam.com,CP,L,,,,,22966,1999,Coast to Coast AM,https://mediabiasfactcheck.com/coast-to-coast-am/,https://en.wikipedia.org/wiki/Coast_to_Coast_AM,200,https://www.coasttocoastam.com/,en,,1,1
collapse.news,CP,VL,,,,,2494406,2015,Collapse.News,https://mediabiasfactcheck.com/collapse-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://collapse.news/,en,,1,1
collective-evolution.com,CP,L,,,,,24058,2009,Collective Evolution,https://mediabiasfactcheck.com/collective-evolution/,,200,https://www.collective-evolution.com/,en,,1,1
concernedwomen.org,FN,L,,,,,1264653,,Concerned Women for America,https://mediabiasfactcheck.com/concerned-women-america/,https://en.wikipedia.org/wiki/Concerned_Women_for_America,200,https://concernedwomen.org/,en,,1,1
consciouslifenews.com,CP,M,,,,,220946,2010,Conscious Life News,https://mediabiasfactcheck.com/conscious-life-news/,,0,https://consciouslifenews.com/,en,,,1
